,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
302,322,105,2,3.0,3.0,8.45,1
347,299,94,1,1.0,1.0,7.34,0
315,308,104,2,2.5,3.0,8.07,0
50,313,98,3,2.5,4.5,8.3,1
112,301,107,3,3.5,3.5,8.34,1
252,318,100,2,2.5,3.5,8.54,1
97,331,120,3,4.0,4.0,8.96,1
104,326,112,3,3.5,3.0,9.05,1
196,306,105,2,3.0,2.5,8.26,0
235,326,111,5,4.5,4.0,9.23,1
265,313,102,3,2.5,2.5,8.68,0
34,331,112,5,4.0,5.0,9.8,1
18,318,110,3,4.0,3.0,8.8,0
377,290,100,1,1.5,2.0,7.56,0
344,295,96,2,1.5,2.0,7.34,0
136,312,103,3,5.0,4.0,8.45,0
280,311,102,3,4.5,4.0,8.64,1
339,324,107,5,3.5,4.0,8.66,1
275,322,110,3,3.5,3.0,8.96,1
175,320,111,4,4.5,3.5,8.87,1
31,327,103,3,4.0,4.0,8.3,1
126,323,113,3,4.0,3.0,9.32,1
245,328,110,4,4.0,2.5,9.02,1
254,321,114,4,4.0,5.0,9.12,0
303,323,107,3,3.5,3.5,8.55,1
91,299,97,3,5.0,3.5,7.66,0
40,308,110,3,3.5,3.0,8.0,1
7,308,101,2,3.0,4.0,7.9,0
239,299,100,1,1.5,2.0,7.89,0
168,293,97,2,2.0,4.0,7.8,1
209,301,104,3,3.5,4.0,8.12,1
231,319,106,3,3.5,2.5,8.33,1
56,316,102,3,2.0,3.0,7.4,0
90,318,106,2,4.0,4.0,7.92,1
189,324,112,5,5.0,5.0,9.08,1
192,322,114,5,4.5,4.0,8.94,1
73,314,108,4,4.5,4.0,9.04,1
371,324,110,3,3.5,3.0,9.22,1
176,329,119,4,4.5,4.5,9.16,1
362,338,115,5,4.5,5.0,9.23,1
164,329,111,4,4.5,4.0,9.01,1
134,333,113,5,4.0,4.0,9.28,1
94,303,99,3,2.0,2.5,7.66,0
142,331,115,5,4.0,3.5,9.44,1
393,317,104,2,3.0,3.0,8.76,0
222,324,113,4,4.5,4.0,8.79,0
155,312,109,3,3.0,3.0,8.69,0
385,335,117,5,5.0,5.0,9.82,1
267,314,107,3,3.0,3.5,8.17,1
343,305,103,2,2.5,3.5,8.13,0
170,312,101,2,2.5,3.5,8.04,1
353,300,102,3,3.5,2.5,8.17,0
71,336,112,5,5.0,5.0,9.76,1
251,316,99,2,2.5,3.0,9.0,0
365,330,114,4,4.5,3.0,9.17,1
12,328,112,4,4.0,4.5,9.1,1
257,324,100,3,4.0,5.0,8.64,1
157,309,104,2,2.0,2.5,8.26,0
114,311,105,3,3.5,3.0,8.45,1
387,307,105,2,2.0,3.5,8.1,0
23,334,119,5,5.0,4.5,9.7,1
42,313,107,2,2.5,2.0,8.5,1
10,325,106,3,3.5,4.0,8.4,1
26,322,109,5,4.5,3.5,8.8,0
374,315,105,2,2.0,2.5,7.65,0
88,314,108,3,4.5,3.5,8.14,0
105,316,110,3,4.0,4.5,8.78,1
396,325,107,3,3.0,3.5,9.11,1
359,321,107,2,2.0,1.5,8.44,0
274,315,100,1,2.0,2.5,7.95,0
140,329,110,2,4.0,3.0,9.15,1
277,320,101,2,2.5,3.0,8.62,0
66,327,114,3,3.0,3.0,9.02,0
2,316,104,3,3.0,3.5,8.0,1
236,325,112,4,4.0,4.5,9.17,1
21,325,114,4,3.0,2.0,8.4,0
113,320,110,2,4.0,3.5,8.56,0
376,297,96,2,2.5,2.0,7.43,0
266,312,105,2,2.0,2.5,8.45,0
261,312,104,3,3.5,4.0,8.09,0
149,311,106,2,3.5,3.0,8.26,1
